Ranking,Movie Title,Movie Link,Poster Img Link,Released_Year,Duration,Certificate,IMDB Rating
61, Sunset Blvd,https://www.imdb.com/title/tt0043014/?ref_=chttp_t_61,"https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_QL75_UX140_CR0,2,140,207_.jpg",1950,1h 50m,Passed,8.4
62, Paths of Glory,https://www.imdb.com/title/tt0050825/?ref_=chttp_t_62,"https://m.media-amazon.com/images/M/MV5BOTI5Nzc0OTMtYzBkMS00NjkxLThmM2UtNjM2ODgxN2M5NjNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UX140_CR0,3,140,207_.jpg",1957,1h 28m,Approved,8.4
63, Avengers: Infinity War,https://www.imdb.com/title/tt4154756/?ref_=chttp_t_63,"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_QL75_UX140_CR0,0,140,207_.jpg",2018,2h 29m,PG-13,8.4
64, The Shining,https://www.imdb.com/title/tt0081505/?ref_=chttp_t_64,"https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,3,140,207_.jpg",1980,2h 26m,R,8.4
65, The Great Dictator,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_65,"https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY207_CR0,0,140,207_.jpg",1940,2h 5m,G,8.4
66, Witness for the Prosecution,https://www.imdb.com/title/tt0051201/?ref_=chttp_t_66,"https://m.media-amazon.com/images/M/MV5BNDQwODU5OWYtNDcyNi00MDQ1LThiOGMtZDkwNWJiM2Y3MDg0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UX140_CR0,3,140,207_.jpg",1957,1h 56m,Approved,8.4
67, Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/?ref_=chttp_t_67,"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_QL75_UX140_CR0,0,140,207_.jpg",2018,1h 57m,PG,8.4
68, Aliens,https://www.imdb.com/title/tt0090605/?ref_=chttp_t_68,"https://m.media-amazon.com/images/M/MV5BOGJkY2EyOWYtYWRmNy00ZTEzLTllMDAtYzYzYjA0ZjFhZWJjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX140_CR0,2,140,207_.jpg",1986,2h 17m,R,8.4
69, American Beauty,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_69,"https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",1999,2h 2m,R,8.3
70, The Dark Knight Rises,https://www.imdb.com/title/tt1345836/?ref_=chttp_t_70,"https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2012,2h 44m,PG-13,8.4
71, Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=chttp_t_71,"https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX140_CR0,0,140,207_.jpg",2009,2h 33m,R,8.3
72, Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/?ref_=chttp_t_72,"https://m.media-amazon.com/images/M/MV5BMWMxYjZkOWUtM2FjMi00MmI1LThkNzQtNTM5Y2E2ZGQ2NGFhXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX140_CR0,1,140,207_.jpg",1964,1h 35m,PG,8.4
73, Oldboy,https://www.imdb.com/title/tt0364569/?ref_=chttp_t_73,"https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2003,2h,R,8.4
74, Coco,https://www.imdb.com/title/tt2380307/?ref_=chttp_t_74,"https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_QL75_UY207_CR3,0,140,207_.jpg",2017,1h 45m,PG,8.4
75, Amadeus,https://www.imdb.com/title/tt0086879/?ref_=chttp_t_75,"https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX140_CR0,5,140,207_.jpg",1984,2h 40m,PG,8.4
76, Toy Story,https://www.imdb.com/title/tt0114709/?ref_=chttp_t_76,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_QL75_UX140_CR0,1,140,207_.jpg",1995,1h 21m,G,8.3
77, Das Boot,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_77,"https://m.media-amazon.com/images/M/MV5BNDBjMWUxNTUtNjZiNi00YzJhLTgzNzUtMTRiY2FkZmMzYTNjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX140_CR0,2,140,207_.jpg",1981,2h 29m,,8.4
